Target,Correlation,p_value,q_value
CofD,-0.005270929,0.575867955,0.870043435
CofH_C,-0.005286696,0.574726656,0.870043435
CofJ,-0.00351013,0.70948598,0.870043435
Cofac_haem_bdg,-0.024150003,0.010361713,0.084813083
Cohesin,-0.003661851,0.697535485,0.870043435
Cohesin_HEAT,-0.00421293,0.654775031,0.870043435
Cohesin_load,-0.004520779,0.63136078,0.870043435
CoiA,-0.027011816,0.004138535,0.038491714
Col-Pyo_DNase,-0.010504815,0.264870792,0.815253494
ColA_N,0.001432128,0.879188509,0.892813337
ColG_sub,-0.007313675,0.437605805,0.870043435
Colicin,-0.011996102,0.202931387,0.711586406
Colicin-DNase,-0.019520229,0.038268782,0.231058713
Colicin_D,0.008060332,0.392278868,0.870043435
Colicin_E5,0.013242059,0.159872955,0.624598505
Colicin_Ia,-0.026636727,0.004690228,0.042998725
Colicin_M,-0.017431475,0.064282015,0.340544089
Colicin_Pyocin,-0.009226075,0.327469142,0.870043435
Colicin_V,-0.006608063,0.483084534,0.870043435
Colicin_im,-0.012916153,0.170404691,0.646047766
Colicin_immun,0.008093333,0.390343445,0.870043435
Collagen,-0.016828112,0.074072194,0.380353791
Collagen_bind,-0.00608364,0.51848072,0.870043435
Collagen_bind_2,-0.004795504,0.61077282,0.870043435
Collagen_mid,-0.002122066,0.821804724,0.870043435
Collar,-0.027369391,0.003668114,0.035085894
Collectrin,-0.002142784,0.820094641,0.870043435
ComA,-0.003782043,0.688121138,0.870043435
ComC,-0.009993553,0.288832761,0.84267853
ComFB,-0.004771252,0.612578255,0.870043435
ComJ,-0.00302817,0.747912129,0.870043435
ComK,-0.003515023,0.709099442,0.870043435
ComP_DUS,-0.002306991,0.806571562,0.870043435
ComR_TPR,-0.006102113,0.517211457,0.870043435
Com_YlbF,-0.003714825,0.693380345,0.870043435
CompInhib_SCIN,-0.001852477,0.844131484,0.870043435
Competence,-0.003712002,0.693601476,0.870043435
Complex1_30kDa,-0.008992756,0.339851032,0.870043435
Complex1_49kDa,-0.010591399,0.260952452,0.810111611
Complex1_51K,-0.012491496,0.184896521,0.676540882
Complex1_LYR,-0.009172755,0.330272647,0.870043435
Condensation,-0.027068025,0.004061135,0.037973596
Cons_hypoth698,-0.017092273,0.069645427,0.364272432
Cons_hypoth95,-0.019592323,0.037560583,0.227633316
Consortin_N,-0.005254863,0.577031978,0.870043435
CooC_C,-0.011303625,0.230239852,0.764276909
CopB,-0.051642428,4.14E-08,1.11E-06
CopC,-0.056770421,1.64E-09,5.18E-08
CopD,-0.053348758,1.46E-08,4.15E-07
CopG_antitoxin,-0.018068313,0.055133182,0.304089423
CopK,-0.004394631,0.640912335,0.870043435
Copine,-0.038479712,4.40E-05,0.000682603
Copper-bind,-0.024780416,0.008527012,0.072045439
Coprogen_oxidas,-0.003762192,0.689672713,0.870043435
Coq4,-0.004801381,0.610335666,0.870043435
CorA,-0.028544854,0.002443863,0.02489847
CorC_HlyC,-0.012972522,0.16854683,0.641888615
Cornifin,-0.006187881,0.511339726,0.870043435
Cortex-I_coil,-0.003073808,0.744244746,0.870043435
Costars,-0.002009045,0.831148424,0.870043435
CotH,-0.003048605,0.746269282,0.870043435
Couple_hipA,-0.037110538,8.15E-05,0.001190739
CovS-like_HAMP,-0.004690536,0.618604091,0.870043435
CpG_bind_C,-0.002144685,0.819937798,0.870043435
CpXC,-0.001822342,0.846635359,0.870469411
CpcD,-0.001902744,0.839958408,0.870043435
CpeS,-0.002614124,0.781435495,0.870043435
CpeT,-0.002892502,0.7588476,0.870043435
Cpn10,-0.023752083,0.011693292,0.093847419
Cpn60_TCP1,-0.025906706,0.005958565,0.052902331
CppA_N,-0.002134843,0.820749992,0.870043435
CpsB_CapC,-0.008551695,0.364065744,0.870043435
Cpta_toxin,-0.003079123,0.743818067,0.870043435
CpxA_peri,-0.003027027,0.748004101,0.870043435
CreA,-0.006396248,0.497221117,0.870043435
CreD,-0.004786097,0.611472858,0.870043435
Creatinase_N,-0.033493807,0.000376772,0.004754168
Creatinase_N_2,-0.008033348,0.393865692,0.870043435
Creatininase,-0.018783023,0.046184872,0.266191967
Crescentin,-0.028121056,0.002833927,0.028199901
CrgA,-0.002749231,0.770448398,0.870043435
Crl,-0.002896819,0.758498849,0.870043435
Cro,-0.007790221,0.408337619,0.870043435
Crp,-0.031090456,0.00096491,0.011095023
Crr6,-0.002845437,0.762652661,0.870043435
CrtC,-0.012784495,0.174803628,0.657323196
CrtO,-0.004384358,0.641692852,0.870043435
Crust_neuro_H,-0.002959978,0.75340254,0.870043435
Cry1Ac_D5,-0.007496725,0.426223164,0.870043435
Cry1Ac_dom-VII,-0.008680506,0.356884849,0.870043435
CryBP1,-0.007309041,0.437896201,0.870043435
Crystall,-0.005214931,0.579929968,0.870043435
Crystall_2,-0.002239105,0.812155516,0.870043435
Crystall_3,-0.002239105,0.812155516,0.870043435
Crystall_4,-0.023135627,0.014056615,0.1088616
Csa3_N,-0.002978371,0.751920396,0.870043435
Csa_translocation_dom,0.011745854,0.212514295,0.730094536
CsbD,-0.022633098,0.016285355,0.121186885
Csc2,-0.003647942,0.698627929,0.870043435
Csd3_N2,-0.049185371,1.76E-07,4.23E-06
CsgE,-0.004455553,0.636291952,0.870043435
CsgF,-0.005816773,0.536994259,0.870043435
CsgG,-0.008323538,0.377004732,0.870043435
CsgH,-0.006166745,0.51278346,0.870043435
CshA_repeat,-0.012010893,0.202374988,0.710499463
CsiD,-0.005327992,0.571742589,0.870043435
Csm1_B,-0.003682156,0.695941721,0.870043435
Csm1_N,-0.012159529,0.196845389,0.699604893
Csm2_III-A,-0.003682156,0.695941721,0.870043435
Csm4_C,-0.002092674,0.824232265,0.870043435
Csm6_6H,-0.003029692,0.747789778,0.870043435
CsoSCA_N,-0.002160956,0.818595439,0.870043435
CspB_prodomain,-0.001892297,0.840825311,0.870043435
CsrA,-0.012800891,0.17425123,0.656513909
CssAB,-0.002736121,0.771512596,0.870043435
CstA,-0.008648373,0.35866775,0.870043435
Csx1_CARF,-0.002039792,0.828604111,0.870043435
CtIP_N,-0.00308752,0.743144043,0.870043435
CtaG_Cox11,-0.005233051,0.578614092,0.870043435
CtnDOT_TraJ,-0.004014983,0.67001358,0.870043435
CtpB_N-like,-0.003697583,0.694731703,0.870043435
CtsR,-0.003071084,0.744463466,0.870043435
CtsR_C,-0.002134843,0.820749992,0.870043435
Cu-oxidase,-0.059180117,3.25E-10,1.11E-08
Cu-oxidase_2,-0.060545319,1.26E-10,4.57E-09
Cu-oxidase_3,-0.060540375,1.27E-10,4.57E-09
Cu-oxidase_4,-0.002138706,0.820431166,0.870043435
Cu_amine_oxid,-0.006411864,0.496171455,0.870043435
Cu_amine_oxidN1,-0.008145121,0.387317951,0.870043435
Cu_amine_oxidN2,-0.004633334,0.622890079,0.870043435
Cu_amine_oxidN3,-0.0051705,0.583162395,0.870043435
Cucumo_coat,-0.002130857,0.821079057,0.870043435
Cucumopine_C,-0.0038494,0.682866199,0.870043435
CueP,-0.003052931,0.745921678,0.870043435
Cupin_1,-0.031238216,0.000912319,0.010553436
Cupin_2,-0.071965727,2.04E-14,1.09E-12
Cupin_3,-0.035071545,0.000196526,0.002638571
Cupin_5,-0.007192921,0.44520943,0.870043435
Cupin_6,-0.034150595,0.000288282,0.003710661
Cupin_7,-0.031006612,0.000995986,0.011418203
Cupin_8,-0.006573408,0.485382406,0.870043435
Cupredoxin_1,-0.02695903,0.004212437,0.039147492
CurL-like_PKS_C,-0.018299542,0.05209201,0.291321504
Curlin_rpt,-0.006199891,0.510520344,0.870043435
CusB_dom_1,-0.055193315,4.56E-09,1.37E-07
CusF_Ec,-0.05380495,1.10E-08,3.18E-07
CusS,-0.054823383,5.78E-09,1.72E-07
CutA1,-0.015863537,0.092225715,0.442077794
CutC,-0.00532349,0.57206756,0.870043435
Cuticle_1,-0.00414728,0.659813476,0.870043435
Cutinase,-0.012380998,0.188812699,0.682857815
CvfB_1st,-0.003811028,0.685857958,0.870043435
CvfB_2nd,-0.003811028,0.685857958,0.870043435
CvfB_WH,-0.007155564,0.447576955,0.870043435
CwfJ_C_1,-0.002945965,0.754532376,0.870043435
CwsA,-0.002198021,0.81553948,0.870043435
CxxCxxCC,-0.030258105,0.001317411,0.014708327
Cyanate_lyase,-0.010478583,0.266065874,0.816317564
CyanoTRADDas_TM,-0.006498097,0.49039636,0.870043435
Cyanophycin_syn,-0.003055231,0.745736877,0.870043435
CybS,-0.003140653,0.738883671,0.870043435
Cyc-maltodext_C,-0.002035769,0.828936898,0.870043435
Cyclase,-0.017975141,0.056399752,0.308889776
Cyclase_polyket,-0.002060225,0.826914269,0.870043435
Cyclin_C,-0.002062814,0.826700145,0.870043435
Cyclophil_like,-0.016111716,0.087244155,0.426997122
Cyclophil_like2,-0.020437947,0.030052729,0.195266547
Cyd_oper_YbgE,-0.004261454,0.651061007,0.870043435
CymA,-0.002115137,0.822376851,0.870043435
CysA_C_terminal,-0.028215221,0.002742646,0.027409827
CysG_dimeriser,-0.007572258,0.421577065,0.870043435
CysR_MRC2_N,-0.00276741,0.768973532,0.870043435
CysS_C,-0.014935621,0.112904813,0.505289566
Cys_Met_Meta_PP,-0.044221587,2.66E-06,5.25E-05
Cys_rich_CPCC,-0.011128843,0.237527611,0.774499842
Cys_rich_CPXG,-0.004142618,0.660171861,0.870043435
Cys_rich_CWC,-0.002115137,0.822376851,0.870043435
Cys_rich_FGFR,-0.007346697,0.435539581,0.870043435
Cys_rich_KTR,-0.00371598,0.693289824,0.870043435
Cyt-b5,-0.001981623,0.833419126,0.870043435
Cyt_bd_oxida_I,-0.019818775,0.03540817,0.218258909
Cyt_bd_oxida_II,-0.019920458,0.034476459,0.214281487
Cyt_c_ox_IV,-0.003027046,0.748002575,0.870043435
Cytidylate_kin,-0.011742484,0.212645518,0.730204633
Cytidylate_kin2,-0.008991775,0.339903754,0.870043435
CytoC_RC,-0.00288615,0.759360781,0.870043435
Cytochrom_B561,-0.003651426,0.698354279,0.870043435
Cytochrom_B562,-0.028473249,0.002506112,0.025420397
Cytochrom_B_C,-0.003753422,0.690358635,0.870043435
Cytochrom_B_N_2,-0.004314898,0.646980457,0.870043435
Cytochrom_C,-0.035099795,0.000194202,0.002619565
Cytochrom_C1,-0.00373913,0.691476947,0.870043435
Cytochrom_C550,-0.013130837,0.163410361,0.630937961
Cytochrom_C552,-0.007953399,0.398589978,0.870043435
Cytochrom_CIII,-0.011205806,0.234298718,0.769766517
Cytochrom_C_2,-0.015192755,0.106838783,0.488182127
Cytochrom_C_asm,-0.011316943,0.229691162,0.763408694
Cytochrom_D1,-0.02133523,0.023533642,0.161651871
Cytochrom_NNT,-0.01288606,0.171402763,0.648339804
Cytochrom_c3_2,-0.016057895,0.088305615,0.429898127
Cytochrom_c_NrfB-like,-0.012266215,0.192945203,0.691067398
Cytochrome_B,-0.004314898,0.646980457,0.870043435
Cytochrome_C554,-0.009257416,0.32582855,0.870043435
Cytochrome_C7,-0.020612682,0.028673538,0.187786439
Cytochrome_CBB3,-0.03454339,0.000245092,0.003223085
Cytochrome_P460,-0.010199334,0.279018057,0.830215494
Cytokin-bind,-0.004273117,0.650169614,0.870043435
Cytotoxic,-0.010286828,0.274914562,0.825596238
CzcE,-0.005979266,0.525682064,0.870043435
D-Glu_cyclase,-0.013451561,0.153367494,0.60803964
D-ser_dehydrat,-0.018000307,0.056055278,0.307996912
D5_N,-0.011356369,0.228072195,0.7608784
DAC,-0.003499076,0.710359487,0.870043435
DACNG,-0.002022181,0.830061156,0.870043435
DACNH,-0.002022181,0.830061156,0.870043435
DAGAT,-0.002778844,0.768046285,0.870043435
DAGK_cat,-0.012567555,0.18223601,0.669980205
DAGK_prokar,-0.01111876,0.237952957,0.774985852
DAHL,-0.017878586,0.057737751,0.314377243
DAHP_snth_FXD,-0.003076453,0.744032386,0.870043435
DAHP_synth_1,-0.020723753,0.027825473,0.184114277
DAHP_synth_2,-0.004717336,0.616600487,0.870043435
DALR_1,-0.006368467,0.499091458,0.870043435
DALR_2,-0.014610509,0.120959295,0.52821793
DAO,-0.090873743,4.25E-22,4.23E-20
DAO_C,-0.020876768,0.026692618,0.178151603
DAP3,-0.006277415,0.505247536,0.870043435
DAPG_hydrolase,-0.00752258,0.424629438,0.870043435
DAP_DH_C,-0.003498546,0.710401415,0.870043435
DAP_epimerase,-0.013198044,0.161265855,0.627277943
DASH_Dad1,-0.002127954,0.821318642,0.870043435
DASH_Duo1,-0.004263873,0.65087612,0.870043435
DASH_Hsk3,-0.002614805,0.781380009,0.870043435
DBD_HTH,-0.008791327,0.350778745,0.870043435
DBINO,-0.001892482,0.840810011,0.870043435
DBI_PRT,-0.008329419,0.376667731,0.870043435
DCC1-like,-0.0135578,0.150146441,0.601890478
DCD,-0.014403252,0.126324175,0.541481284
DCD_C,-0.003753779,0.690330738,0.870043435
DCD_N,-0.004837139,0.607678803,0.870043435
DCTN5,-0.005919635,0.529819126,0.870043435
DDAH_eukar,-0.022920404,0.014975882,0.113704313
DDE_1,-0.006029978,0.522176751,0.870043435
DDE_2,-0.002018798,0.830341197,0.870043435
DDE_3,-0.057500082,1.01E-09,3.29E-08
DDE_5,-0.028398169,0.002572937,0.025983958
DDE_Tnp_1,-0.139943505,2.22E-50,9.86E-48
DDE_Tnp_1_2,-0.043342083,4.18E-06,7.99E-05
DDE_Tnp_1_3,-0.078446135,7.51E-17,4.89E-15
DDE_Tnp_1_4,-0.0521638,3.02E-08,8.26E-07
DDE_Tnp_1_5,-0.077944051,1.18E-16,7.60E-15
DDE_Tnp_1_6,-0.061628474,5.87E-11,2.23E-09
DDE_Tnp_1_7,-0.004225704,0.653796448,0.870043435
DDE_Tnp_1_assoc,-0.024104746,0.010506036,0.085750966
DDE_Tnp_2,-0.011769726,0.21158629,0.728425278
DDE_Tnp_4,-0.057166181,1.26E-09,4.05E-08
DDE_Tnp_IS1,-0.093193504,3.67E-23,4.23E-21
DDE_Tnp_IS1595,-0.015357388,0.10309252,0.476263081
DDE_Tnp_IS240,-0.126723837,1.48E-41,4.48E-39
DDE_Tnp_IS66,-0.138176417,3.79E-49,1.62E-46
DDE_Tnp_IS66_C,-0.087723846,1.07E-20,9.60E-19
DDE_Tnp_ISAZ013,-0.01232777,0.190720867,0.686511786
DDE_Tnp_ISL3,-0.068561784,3.21E-13,1.52E-11
DDE_Tnp_Tn3,-0.121079511,4.61E-38,1.18E-35
DDR,-0.01034064,0.272411324,0.822224497
DDR_swiveling,-0.010248554,0.276704553,0.827173047
DDT,-0.002687402,0.775470871,0.870043435
DEAD,-0.091938529,1.39E-22,1.51E-20
DEAD_2,-0.018383486,0.051023243,0.286769524
DEAD_assoc,-0.011163572,0.236066746,0.772575987
DED,-0.002128918,0.821239085,0.870043435
DEDD_Tnp_IS110,-0.105047481,5.10E-29,8.66E-27
DEDDh_C,-0.006580239,0.484928993,0.870043435
DERM,-0.002129814,0.82116508,0.870043435
DEXQc_Suv3,-0.009220174,0.327778644,0.870043435
DFP,-0.009338959,0.321585009,0.870043435
DFRP_C,-0.002953002,0.753964888,0.870043435
DGC,-0.005793141,0.538649519,0.870043435
DGCcoil,-0.003017053,0.748806376,0.870043435
DGOK,-0.015859158,0.092315624,0.442324925
DHBP_synthase,-0.015139759,0.108067405,0.491356285
DHC,-0.003604623,0.702034488,0.870043435
DHC_N2,-0.003098104,0.742294709,0.870043435
DHDPS,-0.035534768,0.000161522,0.002196741
DHFR_1,-0.061499516,6.43E-11,2.43E-09
DHFR_2,-0.007344475,0.435678444,0.870043435
DHH,-0.018039588,0.055521108,0.305644362
DHHA1,-0.013093222,0.164619943,0.632828584
DHHA2,-0.013861498,0.141223044,0.580650754
DHHW,-0.002158782,0.818774712,0.870043435
DHH_CID,-0.002975283,0.752169164,0.870043435
DHODB_Fe-S_bind,-0.012671539,0.178644778,0.663545966
DHOR,-0.006374976,0.498652948,0.870043435
DHO_dh,-0.020892285,0.026579993,0.177688387
DHOase,-0.002137562,0.820525599,0.870043435
DHQS_C,-0.005181229,0.582381084,0.870043435
DHQ_synthase,-0.011148856,0.236684989,0.77348723
DHR-2_Lobe_C,-0.00212339,0.821695403,0.870043435
DHquinase_I,-0.008711326,0.355179995,0.870043435
DHquinase_II,-0.015513769,0.099631487,0.466335202
DICT,-0.002180247,0.817004536,0.870043435
DIM1,-0.013753062,0.14436117,0.587479666
DIOX_N,-0.017129567,0.069038327,0.361820283
DIP0205-like_N,-0.00056044,0.952568213,0.956632637
DIP2311-like_C,-0.014566053,0.122094773,0.530764802
DIT1_PvcA,-0.004726978,0.615880294,0.870043435
DJ-1_PfpI,-0.045555851,1.31E-06,2.76E-05
DJC28_CD,-0.003598261,0.702535267,0.870043435
DKNYY,-0.007405746,0.431858788,0.870043435
DLH,-0.059407214,2.78E-10,9.50E-09
DLIC,-0.003275711,0.728090768,0.870043435
DLP_helical,-0.00678678,0.471328739,0.870043435
DM13,-0.019793382,0.035644168,0.218894669
DMAP1_like,-0.00080806,0.931654873,0.938490318
DMAP_binding,-0.003172899,0.736302027,0.870043435
DMFA2_C,-0.013459281,0.153131672,0.607731442
DMP19,-0.004723123,0.616168168,0.870043435
DMPK_coil,-0.002041588,0.828455532,0.870043435
DMRL_synthase,-0.01498016,0.111835102,0.502451979
DMSP_lyase,-0.015605331,0.097648433,0.459726866
DMT_6,-0.003017212,0.748793577,0.870043435
DMT_YdcZ,-0.019826825,0.035333636,0.218149266
DNAG_N,-0.032387617,0.000585291,0.007083066
DNAJ_related,-0.004771252,0.612578255,0.870043435
DNAPolymera_Pol,-0.006532328,0.488113933,0.870043435
DNAX_ATPase_lid,-0.013575639,0.149610686,0.600801458
DNA_III_psi,-0.002130857,0.821079057,0.870043435
DNA_alkylation,-0.00927643,0.324835778,0.870043435
DNA_binding_1,-0.015436206,0.101336348,0.470496014
DNA_circ_N,-0.004580334,0.62687263,0.870043435
DNA_gyraseA_C,-0.007947575,0.398935442,0.870043435
DNA_gyraseB,-0.010397209,0.269796709,0.820642815
DNA_gyraseB_C,-0.010397209,0.269796709,0.820642815
DNA_ligase_A_C,-0.03288966,0.000480016,0.005955741
DNA_ligase_A_M,-0.045666264,1.24E-06,2.61E-05
DNA_ligase_A_N,-0.007576503,0.42131685,0.870043435
DNA_ligase_C,-0.003632822,0.699816306,0.870043435
DNA_ligase_OB,-0.008327029,0.376804659,0.870043435
DNA_ligase_OB_2,-0.012040312,0.201271653,0.70813483
DNA_ligase_ZBD,-0.007633098,0.417856452,0.870043435
DNA_ligase_aden,-0.008990265,0.339984857,0.870043435
DNA_meth_N,-0.049118355,1.83E-07,4.37E-06
DNA_methylase,-0.062026186,4.41E-11,1.71E-09
DNA_mis_repair,-0.002982227,0.75160983,0.870043435
DNA_photolyase,-0.013503134,0.151797344,0.605561665
DNA_pol3_a_NI,-0.004694181,0.618331414,0.870043435
DNA_pol3_a_NII,-0.004361106,0.643460883,0.870043435
DNA_pol3_alpha,-0.044619276,2.16E-06,4.32E-05
DNA_pol3_beta,-0.027016133,0.004132543,0.038467009
DNA_pol3_beta_2,-0.027432974,0.003589745,0.034558041
DNA_pol3_beta_3,-0.026719813,0.004562579,0.041936635
DNA_pol3_chi,-0.002982227,0.75160983,0.870043435
DNA_pol3_delt_C,-0.002126118,0.821470238,0.870043435
DNA_pol3_delta,-0.030497237,0.001205577,0.013538383
DNA_pol3_delta2,-0.014506174,0.123637314,0.535406339
DNA_pol3_delta_C,-0.015731547,0.094966704,0.450969463
DNA_pol3_finger,-0.044662993,2.11E-06,4.24E-05
DNA_pol3_gamma3,-0.013406005,0.154764698,0.610849164
DNA_pol3_tau_4,-0.002733699,0.771709232,0.870043435
DNA_pol3_tau_5,-0.002733699,0.771709232,0.870043435
DNA_pol3_theta,-0.060873644,1.00E-10,3.69E-09
DNA_polI_exo1,-0.004238748,0.652797813,0.870043435
DNA_pol_A,-0.009338925,0.321586815,0.870043435
DNA_pol_A_exo1,-0.012007169,0.202514972,0.71077455
DNA_pol_B,-0.007402284,0.432074129,0.870043435
DNA_pol_B_2,0.000598561,0.949346159,0.953978327
DNA_pol_B_exo1,-0.011054278,0.240685777,0.779289463
DNA_pol_B_exo2,-0.00563519,0.549778602,0.870043435
DNA_pol_B_thumb,-0.003044705,0.746582788,0.870043435
DNA_pol_IIIA_C,-0.00412545,0.661492221,0.870043435
DNA_pol_lambd_f,-0.019803368,0.0355512,0.218679247
DNA_pol_phi,-0.002129956,0.821153393,0.870043435
DNA_primase_S,-0.01481706,0.115791702,0.513895487
DNA_primase_lrg,-0.001961725,0.835067678,0.870043435
DNA_processg_A,-0.012892003,0.171205293,0.647805328
DNA_repr_REX1B,-0.001398601,0.881995758,0.894482683
DNA_topoisoIV,-0.010219921,0.278048808,0.828400131
DNApol3-delta_C,-0.002162053,0.818504896,0.870043435
DNApolII_N,-0.003011796,0.749229338,0.870043435
DNApolII_insertion,-0.004206959,0.655232617,0.870043435
DND1_DSRM,-0.002138706,0.820431166,0.870043435
DNER_C,-0.003155947,0.737658864,0.870043435
DNMK,-0.005883644,0.532324157,0.870043435
DNase_NucA_NucB,-0.006409993,0.496297166,0.870043435
DO-GTPase1,-0.011862809,0.207995745,0.722113999
DO-GTPase2,-0.014797625,0.116270416,0.515154324
DOP1_C,-0.003055142,0.745744023,0.870043435
DOPA_dioxygen,-0.002903818,0.757933593,0.870043435
DOT1,-0.006697811,0.477161215,0.870043435
DPBB_1,-0.009735914,0.301445097,0.860323262
DPPIV_N,-0.012087533,0.199509834,0.704084123
DPRP,-0.008887248,0.345547441,0.870043435
DREV,-0.01577337,0.094091199,0.448475623
DRL_cat,-0.008326851,0.376814862,0.870043435
DRTGG,-0.003820984,0.685081224,0.870043435
DS,-0.003672121,0.696729167,0.870043435
DSBA,-0.084399525,2.87E-19,2.25E-17
DSPc,-0.024210887,0.010170338,0.083662275
DSRM_DHX29,-0.00162978,0.862670522,0.880656643
DSX_dimer,-0.002111475,0.822679242,0.870043435
DTP-pb9_B-dom,-0.001027722,0.91314174,0.922257964
DTW,-0.004890066,0.603755836,0.870043435
DUF1002,-0.007535665,0.423824196,0.870043435
DUF1003,-0.011987701,0.203247884,0.711830504
DUF1007,-0.007988245,0.396526674,0.870043435
DUF1010,-0.002182598,0.816810723,0.870043435
DUF1015,-0.003052077,0.745990344,0.870043435
DUF1016_N,-0.016761277,0.075227926,0.384917334
DUF1024,-0.002387182,0.799988173,0.870043435
DUF1028,-0.014643539,0.120121026,0.525728786
DUF1036,-0.005080721,0.589719561,0.870043435
DUF1040,-0.003027027,0.748004101,0.870043435
DUF1045,-0.007987208,0.396587979,0.870043435
DUF1048,-0.005610205,0.551549283,0.870043435
DUF1054,-0.002146874,0.819757121,0.870043435
DUF1057,-0.008252264,0.381104191,0.870043435
DUF1059,-0.004203353,0.655509058,0.870043435
DUF1062,-0.00427349,0.650141159,0.870043435
DUF1064,-0.01316337,0.16236961,0.629448308
DUF1071,-0.007735237,0.411653858,0.870043435
DUF1090,-0.01440664,0.126235028,0.541481284
DUF1091,-0.002051331,0.827649673,0.870043435
DUF1093,-0.01862065,0.048102489,0.274500746
DUF1097,-0.007105145,0.450783512,0.870043435
DUF11,-0.014156525,0.132950269,0.55878843
DUF1102,-0.00213612,0.820644612,0.870043435
DUF1107,-0.002982227,0.75160983,0.870043435
DUF1108,-0.002387182,0.799988173,0.870043435
DUF1120,-0.005968805,0.526406603,0.870043435
DUF1127,-0.016121689,0.087048591,0.426841581
DUF1128,-0.001875617,0.842209913,0.870043435
DUF1129,-0.005926023,0.529375168,0.870043435
DUF1133,-0.005281132,0.575129308,0.870043435
DUF1140,-0.003237292,0.731155555,0.870043435
DUF1145,-0.002022069,0.83007047,0.870043435
DUF1149,-0.002134843,0.820749992,0.870043435
DUF1153,-0.040406206,1.78E-05,0.000300062
DUF1156,-0.010145916,0.281543746,0.835574891
DUF1158,-0.008206545,0.383748157,0.870043435
DUF1161,-0.003670929,0.696822751,0.870043435
DUF1173,-0.047493685,4.57E-07,1.02E-05
DUF1175,-0.004330496,0.645791498,0.870043435
DUF1176,-0.004611338,0.624541577,0.870043435
DUF1177,-0.003108449,0.741464939,0.870043435
DUF1178,-0.002116142,0.822293854,0.870043435
DUF1179,-0.00228964,0.807997836,0.870043435
DUF1186,-0.004605168,0.625005177,0.870043435
DUF1187,-0.012393851,0.188354069,0.682285405
DUF1189,-0.002918445,0.756752686,0.870043435
DUF1190,-0.006802674,0.470290978,0.870043435
DUF1192,0.017557156,0.062383387,0.333086855
DUF1194,-0.012654894,0.179216046,0.66499516
DUF1198,-0.002989275,0.751042145,0.870043435
DUF1203,-0.010900168,0.24730645,0.787896488
DUF1206,-0.009965165,0.290204747,0.844118876
DUF1214,-0.014463639,0.124742269,0.538216455
DUF1217,-0.008549616,0.364182335,0.870043435
DUF1223,-0.005229581,0.578865969,0.870043435
DUF123,-0.002845437,0.762652661,0.870043435
DUF1232,-0.011074697,0.239818,0.778227631
DUF1233,-0.005827573,0.536238632,0.870043435
DUF1236,-0.01711511,0.069273164,0.362654291
DUF1240,-0.002137147,0.820559869,0.870043435
DUF1244,-0.00214363,0.820024796,0.870043435
DUF1249,-0.002834055,0.763573696,0.870043435
DUF1254,-0.014275738,0.129715842,0.549398753
DUF1256,-0.007290745,0.439043914,0.870043435
DUF1257,-0.00892723,0.343381698,0.870043435
DUF1264,-0.006768668,0.472512882,0.870043435
DUF1266,-0.005712951,0.54428548,0.870043435
DUF1269,-0.01008263,0.284556037,0.837211578
DUF1270,-0.001798878,0.848585993,0.871585182
DUF1272,-0.006016313,0.523120126,0.870043435
DUF1275,-0.019225816,0.041279857,0.245023467
DUF1280,-0.003015973,0.748893234,0.870043435
DUF1281,-0.062750324,2.62E-11,1.03E-09
DUF1281_C,-0.062975686,2.22E-11,8.84E-10
DUF1283,-0.002160956,0.818595439,0.870043435
DUF1284,-0.005628864,0.55022666,0.870043435
DUF1285_C,-0.00214851,0.819622189,0.870043435
DUF1285_N,-0.00214851,0.819622189,0.870043435
DUF1286,-0.004230318,0.65344316,0.870043435
DUF1287,-0.002143538,0.820032465,0.870043435
DUF1289,-0.009979807,0.289496566,0.843548232
DUF1292,-0.007430038,0.430349822,0.870043435
DUF1294,-0.016891056,0.07299705,0.376004903
DUF1295,-0.013212594,0.160804422,0.626328063
DUF1302,-0.005344653,0.570540725,0.870043435
DUF1304,-0.006864373,0.466274328,0.870043435
DUF1307,-0.004577788,0.627064213,0.870043435
DUF1315,-0.003083306,0.743482261,0.870043435
DUF1317,-0.005208851,0.580371805,0.870043435
DUF1318,-0.003094815,0.742558586,0.870043435
DUF1322,-0.018825575,0.045693113,0.263866422
DUF1326,-0.009049542,0.336810227,0.870043435
DUF1327,-0.003093269,0.742682649,0.870043435
DUF1328,-0.012002821,0.202678485,0.711088172
DUF1329,-0.005752274,0.54151815,0.870043435
DUF1330,-0.022073235,0.019128674,0.137968102
DUF134,-0.020337522,0.030870898,0.198458231
DUF1344,-0.005188037,0.581885515,0.870043435
DUF1345,-0.010295801,0.274496071,0.825596238
DUF1348,-0.018072005,0.055083491,0.304089423
DUF1349,-0.016188525,0.085747176,0.422075196
DUF1350,-0.004378208,0.642160283,0.870043435
DUF1351,-0.001587328,0.866213452,0.883292639
DUF1353,-0.005194446,0.581419247,0.870043435
DUF1357,-0.019028188,0.043411695,0.254700993
DUF1360,-0.002124004,0.821644708,0.870043435
DUF1365,-0.008527416,0.365429268,0.870043435
DUF1367,-0.004707708,0.617319933,0.870043435
DUF1368,-0.002179923,0.817031285,0.870043435
DUF1375,-0.003551309,0.706235278,0.870043435
DUF1376,-0.005820842,0.536709468,0.870043435
DUF1378,-0.003037759,0.747141151,0.870043435
DUF1380,-0.089871916,1.20E-21,1.14E-19
